Test #110 (Nodes: 10000, Elements: 10000): Tree Creation - 1070791 ns, DFS - 8417 ns, BFS - 81291 ns, List Creation - 288459 ns
Test #111 (Nodes: 10000, Elements: 10000): Tree Creation - 1065167 ns, DFS - 8500 ns, BFS - 84708 ns, List Creation - 294833 ns
Test #112 (Nodes: 10000, Elements: 30000): Tree Creation - 1114875 ns, DFS - 72792 ns, BFS - 155750 ns, List Creation - 979709 ns
Test #113 (Nodes: 10000, Elements: 30000): Tree Creation - 1039000 ns, DFS - 73291 ns, BFS - 141875 ns, List Creation - 909750 ns
Test #114 (Nodes: 10000, Elements: 30000): Tree Creation - 1055625 ns, DFS - 71625 ns, BFS - 141750 ns, List Creation - 898500 ns
Test #115 (Nodes: 10000, Elements: 30000): Tree Creation - 1055041 ns, DFS - 71541 ns, BFS - 141375 ns, List Creation - 902125 ns
Test #116 (Nodes: 10000, Elements: 30000): Tree Creation - 1167250 ns, DFS - 70833 ns, BFS - 141625 ns, List Creation - 939334 ns
Test #117 (Nodes: 10000, Elements: 30000): Tree Creation - 1047417 ns, DFS - 70667 ns, BFS - 144500 ns, List Creation - 907166 ns
Test #118 (Nodes: 10000, Elements: 30000): Tree Creation - 1057500 ns, DFS - 70750 ns, BFS - 141708 ns, List Creation - 1085500 ns
Test #119 (Nodes: 10000, Elements: 30000): Tree Creation - 1031709 ns, DFS - 70541 ns, BFS - 141083 ns, List Creation - 950250 ns
Test #120 (Nodes: 10000, Elements: 30000): Tree Creation - 1055125 ns, DFS - 70375 ns, BFS - 141458 ns, List Creation - 906917 ns
Test #121 (Nodes: 10000, Elements: 30000): Tree Creation - 1045333 ns, DFS - 70166 ns, BFS - 141125 ns, List Creation - 912875 ns
Test #122 (Nodes: 10000, Elements: 30000): Tree Creation - 1065208 ns, DFS - 70708 ns, BFS - 141458 ns, List Creation - 925916 ns
Test #123 (Nodes: 10000, Elements: 30000): Tree Creation - 1028208 ns, DFS - 70542 ns, BFS - 146958 ns, List Creation - 894916 ns
Test #124 (Nodes: 10000, Elements: 30000): Tree Creation - 1056667 ns, DFS - 73916 ns, BFS - 141083 ns, List Creation - 911292 ns
Test #125 (Nodes: 10000, Elements: 30000): Tree Creation - 1120334 ns, DFS - 70583 ns, BFS - 141292 ns, List Creation - 907458 ns
Test #126 (Nodes: 10000, Elements: 30000): Tree Creation - 1056625 ns, DFS - 70334 ns, BFS - 144875 ns, List Creation - 913542 ns
Test #127 (Nodes: 10000, Elements: 30000): Tree Creation - 1054625 ns, DFS - 70542 ns, BFS - 141375 ns, List Creation - 910000 ns
Test #128 (Nodes: 10000, Elements: 30000): Tree Creation - 1053917 ns, DFS - 70250 ns, BFS - 142125 ns, List Creation - 916208 ns
Test #129 (Nodes: 10000, Elements: 30000): Tree Creation - 1053000 ns, DFS - 70500 ns, BFS - 141000 ns, List Creation - 907750 ns
Test #130 (Nodes: 10000, Elements: 30000): Tree Creation - 1040709 ns, DFS - 70083 ns, BFS - 140917 ns, List Creation - 906000 ns
Test #131 (Nodes: 10000, Elements: 30000): Tree Creation - 1081500 ns, DFS - 70334 ns, BFS - 141375 ns, List Creation - 914916 ns
Test #132 (Nodes: 10000, Elements: 30000): Tree Creation - 1052625 ns, DFS - 70417 ns, BFS - 141417 ns, List Creation - 928375 ns
Test #133 (Nodes: 10000, Elements: 30000): Tree Creation - 1041791 ns, DFS - 70375 ns, BFS - 141208 ns, List Creation - 909792 ns
Test #134 (Nodes: 10000, Elements: 30000): Tree Creation - 1069042 ns, DFS - 70500 ns, BFS - 149500 ns, List Creation - 913708 ns
Test #135 (Nodes: 10000, Elements: 30000): Tree Creation - 1071959 ns, DFS - 84875 ns, BFS - 241958 ns, List Creation - 915125 ns
Test #136 (Nodes: 10000, Elements: 30000): Tree Creation - 1044834 ns, DFS - 108000 ns, BFS - 155833 ns, List Creation - 917458 ns
Test #137 (Nodes: 10000, Elements: 30000): Tree Creation - 1044459 ns, DFS - 74083 ns, BFS - 141458 ns, List Creation - 899500 ns
Test #138 (Nodes: 10000, Elements: 30000): Tree Creation - 1073042 ns, DFS - 72583 ns, BFS - 140833 ns, List Creation - 908416 ns
Test #139 (Nodes: 10000, Elements: 30000): Tree Creation - 1162667 ns, DFS - 71375 ns, BFS - 141208 ns, List Creation - 915000 ns
Test #140 (Nodes: 10000, Elements: 30000): Tree Creation - 1066166 ns, DFS - 70500 ns, BFS - 142375 ns, List Creation - 910250 ns
Test #141 (Nodes: 10000, Elements: 30000): Tree Creation - 1092208 ns, DFS - 70375 ns, BFS - 141167 ns, List Creation - 901167 ns
Test #142 (Nodes: 10000, Elements: 30000): Tree Creation - 1124000 ns, DFS - 70041 ns, BFS - 141667 ns, List Creation - 908834 ns
Test #143 (Nodes: 10000, Elements: 30000): Tree Creation - 1136417 ns, DFS - 69959 ns, BFS - 141458 ns, List Creation - 905334 ns
Test #144 (Nodes: 10000, Elements: 30000): Tree Creation - 1163709 ns, DFS - 69708 ns, BFS - 141542 ns, List Creation - 905042 ns
Test #145 (Nodes: 10000, Elements: 30000): Tree Creation - 1155709 ns, DFS - 70000 ns, BFS - 145125 ns, List Creation - 1089583 ns
